1;Antenne Bayern;http://s5-webradio.antenne.de/antenne/stream/mp3;Wir lieben Bayern. Wir lieben die Hits. Nachrichten, Wetter & Verkehrsmeldungen aus Bayern!;Antenne Bayern.png;Germany
2;Artefaktor 80s;http://192.99.170.8:5092/listen.mp3?ver=143865;Artefaktor 80s Music that you always loved!;Artefaktor 80's.png;Mexico
3;Deep Space One;http://ice1.somafm.com/deepspaceone-128-mp3;Deep ambient electronic, experimental and space music. Music for getting lost in space, or just exploring. Tracks with a tempo usually too slow for Space Station Soma, but too fast for Drone Zone.;Deep Space One.png;United States
4;Drone Zone;http://ice1.somafm.com/dronezone-256-mp3;Droning atmospheric space music and ambient textures with minimal beats. Music on Drone Zone is all about sonic textures and environments. Youll hear music by artists such as Pete Namlook, Steve Roach, Harold Budd, Brian Eno, Stars of the Lid, Dilate and the KLF.;Drone Zone.png;United States
6;Groove Salad;http://ice1.somafm.com/groovesalad-256-mp3;A nicely chilled plate of ambient/downtempo beats and grooves.;Groove Salad.png;United States
7;Illinois Street Lounge;http://ice1.somafm.com/illstreet-128-mp3;Bachelor-pad music for sipping cocktails and dressing swanky in your mid-century-modern home. Vintage lounge music and exotica that was way ahead of its time. Settle down in your Eames chair, imagine you pressed play on your Reel-to-Reel tape deck and enjoy.;Illinois Street Lounge.png;United States
8;Instrumental Hits Radio;http://149.56.195.94:8453/stream;Listen to a groundbreaking blend of instrumental genres with the best tunes of all times. Easy Listening, Instrumentals, New Age, TV Themes, Soundtracks, Bossa Nova, Jazz,  Lounge, Classical Music, Big Bands, Orchestral and much more.;Instrumental Hits Radio.png;United States
9;RauteMusik.FM Trance;http://de-hz-fal-stream08.rautemusik.fm/trance;#Musik.Trance ist das Online Radio für Uplifting Trance und Vocaltrance. Unsere Trance-DJs präsentieren Euch im kostenlosen Trance Radio die besten und neusten Tracks aus der Welt des Trance. Lehnt euch zurück und genießt die Mischung aus Progressive-, Vocal und Uplifting-Trances, und das Ganze kombiniert mit gänsehaut-bereitenden Breaks.;RauteMusik.FM Trance.png;Germany
10;Rock Antenne;https://stream.rockantenne.de/rockantenne/stream/mp3;Wir haben alle eine gemeinsame Leidenschaft: Rockmusik!\xa0Unsere Musikredaktion stellt für euch jeden Tag die perfekte Mischung aus kultigen Rockklassikern und aktuellem Rock zusammen.\xa0On top liefern wir euch\xa0für jede Stimmung und jeden Geschmack\xa0auch weitere Spezial-Musikstreams, von Hart bis Zart, von Kult bis Newcomer. Ihr habt die (Qual der) Wahl!;Rock Antenne.png;Germany
11;Synthetic FM;http://stream.syntheticfm.com:8040/stream;Synthetic FM - The radio for the Synth lovers - We play Minimal Wave, Synthwave, Dark Wave, Cold Wave, Minimal Synth, EBM, Electro and Vocoder songs.;Synthetic FM.png;Mexico
12;1.FM - Absolute Trance;http://strm112.1.fm/trance_mobile_mp3;1.FM’s Absolute Trance focuses on full-on, melodic Trance and Progressive from Europe and around the world.;1.FM - Absolute Trance.png;Switzerland
